x,y,w,h
381.0,140.0,287.0,626.0
954.0,569.0,139.0,310.0
1389.0,141.0,283.0,626.0
20.0,0.0,10.0,768.0
20.0,0.0,2000.0,10.0
1999.0,0.0,10.0,768.0
0.0,767.0,2000.0,10.0
